date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:24:26	605829/605829	---M--	200	added ('OK')	video/mp4	etag:%22a569de8f4ad3eb3da17eb725c36d59a4%22	https://vod-progressive.akamaized.net/exp=1685496265~acl=%2Fvimeo-prod-skyfire-std-us%2F01%2F2816%2F30%2F764083875%2F3482193759.mp4~hmac=15d1b5039be0729b7c172350b1573eb809bebd7894484f84dd56eeefcd10e2e1/vimeo-prod-skyfire-std-us/01/2816/30/764083875/3482193759.mp4?filename=file.mp4	C:/My%20Web%20Sites/pw/vod-progressive.akamaized.net/exp=1685496265_acl=/vimeo-prod-skyfire-std-us/01/2816/30/764083875/3482193759.mp4_hmac=15d1b5039be0729b7c172350b15/vimeo-prod-skyfire-std-us/01/2816/30/764083875/34821937594d6f.mp4	(from https://www.pornweek.nz/)
14:24:26	271/271	---M--	200	added ('OK')	image/svg+xml	etag:%22bb0c35f8621f516a9010d0e9c0f05833%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/6362670b1f098e829c87bb7c_card-arrow.svg	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/6362670b1f098e829c87bb7c_card-arrow.svg	(from https://www.pornweek.nz/)
14:24:26	574/574	---M--	200	added ('OK')	image/webp	etag:%22216e8dce5464cf495a138f5f4a4c4c7f%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/635110647f762940ca036cce_shape.webp	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/635110647f762940ca036cce_shape.webp	(from https://www.pornweek.nz/)
14:24:27	157005/157005	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:26%20GMT	https://thelightproject.co.nz/youth/	C:/My%20Web%20Sites/pw/thelightproject.co.nz/youth/index.html	(from https://www.pornweek.nz/)
14:24:27	27248/27248	---M--	200	added ('OK')	image/webp	etag:%22283ede03764f6cb07c9b6cb3f5bb901f%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/635107347963e06383add440_fact_one.webp	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/635107347963e06383add440_fact_one.webp	(from https://www.pornweek.nz/)
14:24:28	191832/191832	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:27%20GMT	https://thelightproject.co.nz/youth/great-sex-vs-porn-sex/	C:/My%20Web%20Sites/pw/thelightproject.co.nz/youth/great-sex-vs-porn-sex/index.html	(from https://www.pornweek.nz/)
14:24:28	188629/188629	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:27%20GMT	https://thelightproject.co.nz/youth/can-porn-affect-us/	C:/My%20Web%20Sites/pw/thelightproject.co.nz/youth/can-porn-affect-us/index.html	(from https://www.pornweek.nz/)
14:24:28	198266/198266	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:28%20GMT	https://www.intheknow.co.nz/want-to-cut-down/	C:/My%20Web%20Sites/pw/www.intheknow.co.nz/want-to-cut-down/index.html	(from https://www.pornweek.nz/)
14:24:28	124681/124681	---M-Z	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:28%20GMT	https://www.pornweek.nz/?fb8bfe9b_page=2	C:/My%20Web%20Sites/pw/www.pornweek.nz/index877d.html	(from https://www.pornweek.nz/)
14:24:28	16/16	---M--	502	error ('Bad%20Gateway')	text/plain	date:Tue,%2030%20May%202023%2021:24:28%20GMT	https://www.pornweek.nz/%22https://assets.website-files.com/61af03ac30e53bb54ccb7095/6361bc187ecbe80bf6a789ee_PornWeek-poster-00001.jpg%22	C:/My%20Web%20Sites/pw/www.pornweek.nz/_https_/assets.website-files.com/61af03ac30e53bb54ccb7095/6361bc187ecbe80bf6a789ee_PornWeek-poster-00001.13.delayed	(from https://www.pornweek.nz/)
14:24:29	184109/184109	---MCZ	200	added ('OK')	text/html	date:Tue,%2030%20May%202023%2021:24:28%20GMT	https://thelightproject.co.nz/	C:/My%20Web%20Sites/pw/thelightproject.co.nz/index.html	(from https://www.pornweek.nz/)
14:24:30	2036/2036	---M--	200	added ('OK')	image/png	etag:%22fcc0514306e2b73e968327023a41d79b%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/6360b3fa78f08d42ae3a3cac_new-field-arrow.png	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/6360b3fa78f08d42ae3a3cac_new-field-arrow.png	(from https://www.pornweek.nz/)
14:24:30	4600818/4600818	---M--	200	added ('OK')	video/mp4	etag:%224632597c0bd7193af9916a4e00deedbc%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/6361bc187ecbe80bf6a789ee_PornWeek-transcode.mp4	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/6361bc187ecbe80bf6a789ee_PornWeek-transcode.mp4	(from https://www.pornweek.nz/)
14:24:30	196/196	---M--	200	added ('OK')	image/svg+xml	etag:%224aeb736dba5df54304c6212c5b345c5e%22	https://assets.website-files.com/61af03ac30e53bb54ccb7095/63579e3a0885c2514ef9a019_select-arrow.svg	C:/My%20Web%20Sites/pw/assets.website-files.com/61af03ac30e53bb54ccb7095/63579e3a0885c2514ef9a019_select-arrow.svg	(from https://www.pornweek.nz/)
14:24:32	0/0	---MC-	301	error ('Moved%20Permanently')	text/html	date:Tue,%2030%20May%202023%2021:24:30%20GMT	http://www.w3.org/2000/svg	C:/My%20Web%20Sites/pw/www.w3.org/2000/svg.18.delayed	(from https://www.pornweek.nz/)
